iter	Passed	Remaining
495	635	645
496	636	644
497	638	643
498	640	642
499	641	641
500	643	641
501	646	640
502	647	639
503	649	639
504	651	638
505	653	637
506	654	636
507	656	636
508	658	635
509	661	635
510	665	636
511	667	636
512	670	636
513	673	637
514	677	637
515	679	637
516	682	637
517	684	636
518	686	636
519	689	636
520	691	636
521	693	634
522	695	634
523	697	633
524	699	632
525	701	631
526	703	631
527	705	630
528	708	631
529	711	630
530	713	630
531	715	629
532	717	628
533	718	627
534	721	626
535	724	626
536	725	625
537	727	624
538	729	623
539	730	622
540	732	621
541	733	620
542	736	619
543	739	619
544	740	618
545	742	617
546	744	616
547	746	615
548	749	615
549	751	614
550	754	614
551	755	613
552	757	612
553	759	611
554	761	610
555	762	609
556	765	608
557	768	608
558	770	608
559	773	607
560	776	607
561	777	606
562	780	606
563	783	605
564	785	604
565	787	604
566	789	602
567	791	602
568	792	600
569	795	600
570	798	600
571	801	599
572	802	598
573	805	597
574	807	596
575	810	596
576	812	595
577	815	595
578	816	593
579	818	592
580	820	591
581	822	590
582	824	589
583	826	589
584	829	588
585	831	587
586	833	586
587	835	585
588	836	584
589	839	583
590	841	582
591	843	581
592	846	580
593	848	580
594	850	578
595	852	577
596	855	577
597	857	576
598	861	576
599	864	576
600	867	576
601	870	575
602	873	575
603	877	575
604	880	574
605	883	574
606	886	574
607	889	573
608	892	573
609	895	572
610	897	571
611	898	569
612	900	568
613	902	567
614	904	566
615	906	564
616	908	563
617	910	562
618	912	561
619	914	560
620	916	559
621	918	558
622	921	557
623	923	556
624	926	555
625	929	555
626	932	554
627	936	554
628	940	554
629	943	554
630	946	553
631	949	552
632	953	552
633	956	552
634	959	551
635	962	551
636	966	550
637	969	550
638	972	549
639	976	549
640	979	548
641	982	547
642	985	547
643	989	547
644	992	546
645	996	545
646	998	545
647	1002	544
648	1005	543
649	1007	542
650	1011	542
651	1014	541
652	1017	540
653	1020	539
654	1023	538
655	1026	538
656	1029	537
657	1031	536
658	1034	535
659	1036	534
660	1038	532
661	1041	531
662	1043	530
663	1046	529
664	1049	528
665	1051	527
666	1053	525
667	1055	524
668	1057	523
669	1059	522
670	1062	520
671	1064	519
672	1066	518
673	1068	516
674	1069	515
675	1071	513
676	1072	511
677	1074	510
678	1076	508
679	1078	507
680	1079	505
681	1080	503
682	1082	502
683	1083	500
684	1084	498
685	1085	497
686	1087	495
687	1089	493
688	1090	492
689	1092	490
690	1094	489
691	1095	487
692	1097	485
693	1098	484
694	1099	482
695	1100	480
696	1101	478
697	1103	477
698	1104	475
699	1106	474
700	1108	472
701	1109	471
702	1110	469
703	1112	467
704	1113	465
705	1114	464
706	1115	462
707	1117	460
708	1118	459
709	1120	457
710	1122	456
711	1123	454
712	1125	453
713	1126	451
714	1128	449
715	1129	448
716	1130	446
717	1132	444
718	1133	443
719	1135	441
720	1137	440
721	1139	438
722	1140	437
723	1142	435
724	1143	433
725	1144	432
726	1145	430
727	1147	428
728	1148	427
729	1150	425
730	1152	424
731	1153	422
732	1155	420
733	1156	419
734	1158	417
735	1159	415
736	1160	414
737	1161	412
738	1163	410
739	1164	409
740	1166	407
741	1168	406
742	1170	404
743	1171	403
744	1172	401
745	1174	399
746	1175	398
